Type	Front	Back	Tags
Basic	What is the "no free lunch theorem"?	No classifier is best for all scenarios	chapter03::algorithm-selection
Basic	What does "no free lunch" imply?	Algorithm choice depends on the data	chapter03::algorithm-selection
Basic	What is a "hyperplane"?	Decision boundary in high-dimensional space	chapter03::prerequisites
Basic	What are "odds"?	Ratio of success to failure: p/(1-p)	chapter03::prerequisites
Basic	What is a "log" (logarithm)?	Inverse of exponentiation	chapter03::prerequisites
Basic	What is "probability"?	Likelihood of an event, between 0 and 1	chapter03::prerequisites
Basic	What is a "kernel" (in ML)?	Function measuring similarity between points	chapter03::prerequisites
Basic	What is "entropy" (in information theory)?	Measure of uncertainty/randomness	chapter03::prerequisites
Basic	What is "impurity" in decision trees?	How mixed the classes are in a node	chapter03::prerequisites
Basic	Step 1 of supervised ML workflow?	Collect labeled training examples	chapter03::ml-workflow
Basic	Step 2 of supervised ML workflow?	Choose a performance metric	chapter03::ml-workflow
Basic	Step 3 of supervised ML workflow?	Choose and train a model	chapter03::ml-workflow
Basic	Step 4 of supervised ML workflow?	Evaluate model performance	chapter03::ml-workflow
Basic	Step 5 of supervised ML workflow?	Tune hyperparameters	chapter03::ml-workflow
Basic	What does stratify do in train_test_split?	Preserves class proportions	chapter03::data-splitting
Basic	What does StandardScaler.fit() do?	Learn mean and std from training data	chapter03::preprocessing
Basic	What does StandardScaler.transform() do?	Apply learned scaling to data	chapter03::preprocessing
Basic	Why use same scaler for train and test?	Keeps values comparable	chapter03::preprocessing
Basic	What is OvR (One-vs-Rest)?	Binary classifier per class vs. all others	chapter03::multiclass
Basic	What is logistic regression used for?	Classification (not regression)	chapter03::logistic-regression
Basic	What does logistic regression output?	Class probabilities	chapter03::logistic-regression
Cloze	Odds formula: {{c1::p / (1-p)}}		chapter03::logistic-regression
Cloze	Logit function: logit(p) = {{c1::log(p/(1-p))}}		chapter03::logistic-regression
Cloze	Sigmoid function: σ(z) = {{c1::1 / (1 + e^(-z))}}		chapter03::logistic-regression
Basic	What is the relationship between logit and sigmoid?	Sigmoid is inverse of logit	chapter03::logistic-regression
Basic	What is σ(z) when z = 0?	0.5	chapter03::logistic-regression
Basic	How does logistic regression differ from Adaline?	Uses sigmoid instead of identity activation	chapter03::logistic-regression
Basic	When is class 1 predicted in logistic regression?	When σ(z) >= 0.5	chapter03::logistic-regression
Basic	Why use logistic regression in medicine?	Outputs interpretable probabilities	chapter03::logistic-regression
Cloze	Logistic loss when y=1: {{c1::-log(σ(z))}}		chapter03::logistic-regression
Cloze	Logistic loss when y=0: {{c1::-log(1 - σ(z))}}		chapter03::logistic-regression
Basic	What is overfitting?	Good training performance, poor generalization	chapter03::overfitting
Basic	What is underfitting?	Model too simple to capture patterns	chapter03::overfitting
Basic	What is regularization?	Penalizing extreme weights to prevent overfitting	chapter03::regularization
Cloze	L2 regularization adds: {{c1::(λ/2) ||w||²}}		chapter03::regularization
