Type	Front	Back	Tags
Basic	What makes sequential data different from standard ML data?	Elements appear in order and are not independent (not IID)	chapter15::sequential-data
Basic	What is the difference between time series and general sequential data?	Time series has a time dimension; sequential data like text is ordered but not time-based	chapter15::sequential-data
Basic	What is many-to-one sequence modeling?	Sequence input, fixed output (e.g., sentiment analysis)	chapter15::sequence-modeling
Basic	What is one-to-many sequence modeling?	Fixed input, sequence output (e.g., image captioning)	chapter15::sequence-modeling
Basic	What is many-to-many sequence modeling?	Both input and output are sequences (can be synchronized or delayed)	chapter15::sequence-modeling
Basic	What distinguishes RNNs from feedforward networks?	RNNs have recurrent edges giving them memory of past events	chapter15::vanilla-rnn
Cloze	In RNN, hidden layer receives input from x(t) and {{c1::h(t-1)}}		chapter15::vanilla-rnn
Cloze	Three RNN weight matrices: {{c1::Wxh}} (input to hidden), {{c2::Whh}} (recurrent), {{c3::Who}} (hidden to output)		chapter15::vanilla-rnn
Cloze	RNN hidden state: h(t) = {{c1::activation(Wxh*x(t) + Whh*h(t-1) + bh)}}		chapter15::vanilla-rnn
Basic	Why are RNN weights shared across time?	Allows processing sequences of varying lengths with same parameters	chapter15::vanilla-rnn
Cloze	At t=0, RNN hidden units are initialized to {{c1::zeros or small random values}}		chapter15::vanilla-rnn
Cloze	Default activation in nn.RNN is {{c1::tanh}}		chapter15::pytorch-rnn
Cloze	{{c1::nn.RNN}} creates basic recurrent layer in PyTorch		chapter15::pytorch-rnn
Basic	What is Backpropagation Through Time (BPTT)?	RNN learning where overall loss is sum of all time step losses	chapter15::bptt
Basic	What causes vanishing gradient problem in RNNs?	When |w| < 1, w^(t-k) becomes very small for large t-k	chapter15::vanishing-gradients
Basic	What causes exploding gradient problem in RNNs?	When |w| > 1, w^(t-k) becomes very large for large t-k	chapter15::exploding-gradients
Basic	What is solution 1 to RNN gradient problems?	Gradient clipping	chapter15::gradient-problems
Basic	What is solution 2 to RNN gradient problems?	Truncated BPTT	chapter15::gradient-problems
Basic	What is solution 3 to RNN gradient problems?	LSTM cells	chapter15::gradient-problems
Basic	How does gradient clipping work?	Assigns cut-off value to gradients exceeding a threshold	chapter15::gradient-clipping
Basic	How does Truncated BPTT work?	Limits backpropagation to most recent N steps	chapter15::tbptt
Basic	Who invented LSTM?	Sepp Hochreiter and Jurgen Schmidhuber in 1997	chapter15::lstm
Basic	What is the main purpose of LSTM?	Overcome vanishing gradients while modeling long-range dependencies	chapter15::lstm
Cloze	LSTM has {{c1::three}} gates: forget, input, and output		chapter15::lstm
Basic	What is the cell state in LSTM?	Recurrent edge with weight w=1, allowing information flow without decay	chapter15::lstm
Basic	What does the forget gate control?	How much of previous cell state to retain (sigmoid 0-1)	chapter15::lstm
Cloze	Forget gate: f_t = {{c1::sigmoid(Wxf*x(t) + Whf*h(t-1) + bf)}}		chapter15::lstm
