Type	Front	Back	Tags
Basic	What is a neuron (in biology)?	A nerve cell that processes signals	chapter02::prerequisites
Basic	What is a weight in ML?	A parameter that scales input importance	chapter02::prerequisites
Basic	What is a bias term?	A parameter that shifts the decision boundary	chapter02::prerequisites
Basic	What is a threshold?	A cutoff value for making decisions	chapter02::prerequisites
Basic	What is a derivative?	Rate of change of a function	chapter02::prerequisites
Basic	What is a gradient?	Vector of partial derivatives	chapter02::prerequisites
Basic	What does "convergence" mean?	When an algorithm reaches a stable solution	chapter02::prerequisites
Basic	What is the MCP neuron?	First mathematical model of a neuron (1943)	chapter02::history
Basic	What did the MCP neuron model?	A logic gate with binary outputs	chapter02::history
Basic	Who proposed the perceptron?	Frank Rosenblatt (1957)	chapter02::perceptron
Basic	What is a perceptron?	Single-layer neural network for binary classification	chapter02::perceptron
Cloze	Perceptron net input: z = {{c1::w·x + b}}		chapter02::perceptron
Basic	What does the perceptron output if z >= 0?	1	chapter02::perceptron
Basic	What does the perceptron output if z < 0?	0	chapter02::perceptron
Basic	What is the bias unit in a perceptron?	Negative threshold added to net input	chapter02::perceptron
Cloze	Perceptron weight update: w_j := w_j + {{c1::η(y - ŷ)x_j}}		chapter02::perceptron
Cloze	Perceptron bias update: b := b + {{c1::η(y - ŷ)}}		chapter02::perceptron
Basic	When do perceptron weights stay unchanged?	When prediction is correct (y = ŷ)	chapter02::perceptron
Basic	How does perceptron adjust for false negative?	Increases weights (makes z more positive)	chapter02::perceptron
Basic	How does perceptron adjust for false positive?	Decreases weights (makes z more negative)	chapter02::perceptron
Basic	What is η (eta)?	Learning rate	chapter02::learning-rate
Cloze	Learning rate is typically between {{c1::0}} and {{c2::1}}		chapter02::learning-rate
Basic	What is "linearly separable" data?	Data separable by a straight line/hyperplane	chapter02::convergence
Basic	When does perceptron converge?	Only if data is linearly separable	chapter02::convergence
Basic	How to handle non-separable data with perceptron?	Set maximum epochs or error threshold	chapter02::perceptron
Basic	Why not initialize weights to all zeros?	Learning rate only affects scale, not direction	chapter02::perceptron
Basic	What is an epoch?	One pass through entire training dataset	chapter02::training
Basic	What is Adaline?	ADAptive LInear NEuron	chapter02::adaline
Basic	How does Adaline differ from perceptron?	Uses continuous activation for weight updates	chapter02::adaline
Basic	What activation does Adaline use?	Identity function: σ(z) = z	chapter02::adaline
Basic	Why is continuous activation useful?	Makes loss differentiable for optimization	chapter02::adaline
Basic	What loss function does Adaline use?	Mean Squared Error (MSE)	chapter02::adaline
Cloze	MSE = {{c1::(1/n)Σ(y - ŷ)²}}		chapter02::adaline
Basic	Why is MSE useful for optimization?	It's differentiable and convex	chapter02::adaline
Basic	What is a convex function?	Has single global minimum, no local minima	chapter02::gradient-descent
Basic	What is gradient descent?	Optimization by moving opposite to gradient	chapter02::gradient-descent
Basic	Why move opposite to the gradient?	Gradient points uphill; we want downhill	chapter02::gradient-descent
Cloze	Gradient descent update: w := w - {{c1::η∇L}}		chapter02::gradient-descent
