Type	Front	Back	Tags
Basic	What are the three main types of machine learning?	Supervised learning, unsupervised learning, and reinforcement learning	chapter01::ml-types
Basic	What characterizes supervised learning?	It uses labeled training data to learn a mapping from inputs to outputs	chapter01::ml-types
Basic	What characterizes unsupervised learning?	It works with unlabeled data to discover hidden structure or patterns	chapter01::ml-types
Basic	What characterizes reinforcement learning?	It learns through interactions with an environment to maximize a reward signal	chapter01::ml-types
Cloze	{{c1::Machine learning}} is the application and science of algorithms that make sense of data		chapter01::ml-definition
Cloze	Machine learning evolved as a subfield of {{c1::artificial intelligence (AI)}}		chapter01::ml-history
Cloze	Machine learning emerged in the second half of the {{c1::20th century}}		chapter01::ml-history
Basic	What is the main advantage of machine learning over manual rule derivation?	It offers a more efficient alternative for capturing knowledge in data to gradually improve predictive models and make data-driven decisions	chapter01::ml-benefits
Cloze	{{c1::Supervised learning}} uses {{c2::labeled}} training data to learn a mapping from inputs to outputs		chapter01::supervised-learning
Basic	Why is supervised learning called "supervised"?	Because the training examples have known desired output signals (labels) - like having a teacher provide correct answers	chapter01::supervised-learning
Basic	What is the main goal of supervised learning?	To learn a model from labeled training data that allows making predictions about unseen or future data	chapter01::supervised-learning
Cloze	The two main subcategories of supervised learning are {{c1::classification}} and {{c2::regression}}		chapter01::supervised-learning
Basic	What distinguishes classification from regression?	Classification predicts discrete class labels; regression predicts continuous values	chapter01::supervised-learning
Cloze	{{c1::Classification}} is a supervised learning task where the goal is to predict {{c2::categorical class labels}} of new instances		chapter01::classification
Basic	What is a binary classification task?	A classification task with only two possible classes (e.g., spam vs. non-spam)	chapter01::classification
Basic	Give an example of binary classification.	Email spam detection - classifying emails as spam or non-spam	chapter01::classification
Cloze	A {{c1::decision boundary}} is a rule learned by a classification algorithm that separates different classes in the feature space		chapter01::classification
Basic	What is multiclass classification?	Classification where more than two class labels are possible	chapter01::classification
Basic	Give an example of multiclass classification.	Handwritten character recognition where letters A-Z represent different classes	chapter01::classification
Cloze	{{c1::Regression analysis}} is a type of supervised learning for predicting {{c2::continuous}} outcomes		chapter01::regression
Basic	What are predictor variables used for in regression?	To find a relationship that predicts the continuous response variable (outcome)	chapter01::regression
Cloze	In machine learning, predictor variables are commonly called {{c1::features}}		chapter01::terminology
Cloze	In machine learning, response variables are commonly called {{c1::target variables}}		chapter01::terminology
