Type	Front	Back	Tags
Basic	What is a "graph" (data structure)?	Nodes connected by edges	chapter18::prerequisites
Basic	What is an "adjacency matrix"?	Matrix encoding node connections	chapter18::prerequisites
Basic	What is "message passing"?	Nodes exchange info with neighbors	chapter18::prerequisites
Basic	What is "permutation invariance"?	Output unchanged by node ordering	chapter18::prerequisites
Basic	Why can't CNNs work on graphs?	Irregular structure, no spatial ordering	chapter18::gnn-motivation
Basic	What is a GNN?	Graph Neural Network	chapter18::gnn-basics
Basic	Four GNN application areas?	Text classification, drug discovery, recommender systems, traffic	chapter18::gnn-applications
Cloze	Graph G = {{c1::(V, E)}}: V = nodes, E = edges		chapter18::graph-representation
Cloze	Adjacency matrix shape: {{c1::|V| × |V|}}		chapter18::adjacency-matrix
Basic	Undirected graph adjacency property?	Symmetric matrix	chapter18::graph-types
Basic	What is a labeled graph?	Graph with node/edge features	chapter18::labeled-graphs
Cloze	Node feature matrix X shape: {{c1::|V| × f}}		chapter18::graph-representation
Basic	How are molecules represented as graphs?	Atoms = nodes, bonds = edges	chapter18::molecular-graphs
Basic	What is permutation invariance in GNNs?	Node order doesn't affect output	chapter18::permutation-invariance
Basic	What is message-passing framework?	Collect from neighbors, aggregate, update	chapter18::message-passing
Basic	Why stack graph convolutions?	Each layer adds one hop of info	chapter18::receptive-field
Cloze	k graph conv layers = {{c1::k}} hops of information		chapter18::receptive-field
Basic	What is global pooling in GNNs?	Aggregate nodes to fixed-size output	chapter18::global-pooling
Basic	Global pooling must be?	Permutation invariant (sum, max, mean)	chapter18::global-pooling
Basic	How batch varying-size graphs?	Treat as one large disconnected graph	chapter18::batching
Basic	What is the graph Laplacian?	L = D - A (degree matrix - adjacency)	chapter18::graph-laplacian
Basic	What is the degree matrix D?	Diagonal with node degrees	chapter18::degree-matrix
Basic	Three graph-level tasks?	Node classification, edge prediction, graph classification	chapter18::graph-tasks
Basic	What is DiffPool?	Learned hierarchical pooling	chapter18::diffpool
Basic	What are GATs?	Graph Attention Networks	chapter18::graph-attention
Basic	What must aggregation functions be?	Permutation invariant	chapter18::aggregation
Basic	Write code to import PyG.	import torch_geometric	chapter18::code
Basic	Write code for PyG Data object.	from torch_geometric.data import Data; data = Data(x=x, edge_index=edge_index)	chapter18::code
Basic	edge_index shape in PyG?	(2, num_edges)	chapter18::code
Basic	Write code for GCNConv.	from torch_geometric.nn import GCNConv; conv = GCNConv(in_channels, out_channels)	chapter18::code
Basic	Write code for global mean pool.	from torch_geometric.nn import global_mean_pool	chapter18::code
Basic	Write code for global max pool.	from torch_geometric.nn import global_max_pool	chapter18::code
Basic	Write code for GATConv.	from torch_geometric.nn import GATConv; gat = GATConv(in_ch, out_ch, heads=4)	chapter18::code
Basic	Write code for DataLoader in PyG.	from torch_geometric.loader import DataLoader	chapter18::code
